Location,Rainfall (mm),Depth_to_Water_Level (m),Seasonal_Fluctuation (m),Soil_Type,Rock_Type,Aquifer_Type,Required_Bore_Depth (m)
Rangareddy,1111.12,8.28,3.76,Laterite,Basalt,Confined,13.76
Adilabad,1054.84,3.96,1.65,Laterite,Granite,Confined,8.55
Adilabad,1083.59,3.45,4.56,Black Cotton,Schist,Unconfined,10.76
Adilabad,1056.18,3.99,3.4,Red Sandy,Basalt,Semi-confined,9.79
Khammam,1630.23,7.02,4.17,Black Cotton,Schist,Semi-confined,12.4
Khammam,1608.4,7.85,3.12,Red Sandy,Basalt,Confined,13.11
Adilabad,1064.05,5.13,4.11,Loamy,Quartzite,Unconfined,12.05
Nizamabad,1170.56,7.69,4.59,Loamy,Quartzite,Confined,14.4
Karimnagar,1263.69,8.6,2.35,Loamy,Basalt,Confined,13.21
Nizamabad,1151.37,7.67,4.06,Laterite,Granite,Unconfined,13.28
Medak,1182.2,16.55,1.52,Laterite,Granite,Confined,20.11
Khammam,1631.33,7.94,4.67,Black Cotton,Quartzite,Unconfined,14.17
Mahabubnagar,1220.25,8.68,2.92,Laterite,Schist,Semi-confined,13.35
Warangal,1786.28,7.07,1.59,Black Cotton,Schist,Semi-confined,10.23
Mahabubnagar,1183.84,7.49,3.61,Laterite,Quartzite,Unconfined,13.62
Nizamabad,1126.27,7.95,2.63,Red Sandy,Basalt,Unconfined,12.48
Khammam,1606.44,6.53,2.25,Loamy,Quartzite,Unconfined,11.66
Hyderabad,1228.82,8.55,2.58,Black Cotton,Schist,Unconfined,13.41
Khammam,1653.27,7.85,3.1,Black Cotton,Basalt,Semi-confined,13.48
Karimnagar,1277.42,7.32,3.24,Red Sandy,Quartzite,Confined,11.68
Nizamabad,1170.41,9.18,3.54,Loamy,Quartzite,Unconfined,15.5
Nizamabad,1144.46,8.06,4.29,Black Cotton,Granite,Unconfined,13.64
Hyderabad,1166.1,7.21,3.48,Loamy,Basalt,Semi-confined,13.24
Warangal,1801.72,8.65,2.46,Laterite,Schist,Semi-confined,13.71
Khammam,1581.01,7.37,4.22,Loamy,Basalt,Unconfined,14.41
Rangareddy,1117.67,6.79,2.21,Black Cotton,Schist,Unconfined,10.31
Mahabubnagar,1259.1,8.39,4.1,Red Sandy,Basalt,Unconfined,15.28
Warangal,1771.76,7.64,3.15,Red Sandy,Schist,Unconfined,13.22
Rangareddy,1127.48,9.3,4.14,Black Cotton,Granite,Confined,14.48
Hyderabad,1195.51,8.54,3.02,Black Cotton,Schist,Semi-confined,13.19
Nizamabad,1125.72,6.51,3.37,Black Cotton,Granite,Semi-confined,11.48
Adilabad,1111.68,3.01,4.16,Black Cotton,Granite,Unconfined,9.32
Warangal,1795.14,6.46,1.54,Red Sandy,Basalt,Unconfined,9.16
Hyderabad,1163.55,6.64,4.1,Red Sandy,Quartzite,Unconfined,12.83
Khammam,1561.22,9.05,1.58,Red Sandy,Granite,Semi-confined,11.68
Adilabad,1045.71,4.71,4.75,Loamy,Basalt,Semi-confined,11.68
Khammam,1565.56,7.68,2.22,Red Sandy,Granite,Unconfined,12.18
Mahabubnagar,1195.18,9.12,2.18,Red Sandy,Quartzite,Unconfined,13.05
Karimnagar,1204.48,7.37,4.32,Black Cotton,Quartzite,Semi-confined,13.85
Nalgonda,1011.95,8.58,4.97,Loamy,Schist,Semi-confined,15.97
Rangareddy,1109.45,7.74,2.74,Black Cotton,Quartzite,Unconfined,13.36
Karimnagar,1254.87,8.45,4.61,Black Cotton,Schist,Semi-confined,14.26
Warangal,1736.92,8.92,3.26,Loamy,Quartzite,Semi-confined,13.66
Mahabubnagar,1243.73,8.11,4.79,Black Cotton,Granite,Semi-confined,15.36
Warangal,1815.81,6.86,4.17,Red Sandy,Granite,Confined,13.1
Medak,1235.72,16.61,1.86,Laterite,Basalt,Unconfined,20.01
Medak,1167.27,16.23,2.78,Loamy,Granite,Confined,21.65
Warangal,1827.07,6.78,2.47,Red Sandy,Schist,Confined,11.74
Nalgonda,930.51,7.65,3.08,Black Cotton,Schist,Confined,12.71
Nalgonda,985.44,9.25,4.07,Black Cotton,Quartzite,Semi-confined,16.17
Hyderabad,1214.21,7.0,2.47,Black Cotton,Schist,Confined,12.02
Adilabad,1060.98,3.23,2.0,Loamy,Basalt,Unconfined,8.23
Khammam,1645.81,7.93,2.27,Red Sandy,Basalt,Semi-confined,12.47
Karimnagar,1261.02,7.58,2.89,Laterite,Schist,Unconfined,11.67
Warangal,1807.26,8.33,2.73,Loamy,Basalt,Unconfined,13.68
Rangareddy,1089.08,7.62,2.02,Laterite,Basalt,Confined,12.5
Warangal,1767.07,6.48,2.24,Loamy,Quartzite,Semi-confined,10.71
Khammam,1623.34,8.09,3.53,Loamy,Granite,Confined,12.79
Khammam,1645.24,7.69,2.17,Red Sandy,Quartzite,Semi-confined,11.78
Nalgonda,1007.11,7.68,3.4,Loamy,Granite,Semi-confined,12.12
Nalgonda,998.82,8.65,2.52,Red Sandy,Granite,Confined,12.67
Medak,1184.16,15.0,3.29,Loamy,Quartzite,Unconfined,19.9
Adilabad,1129.83,4.53,2.68,Red Sandy,Schist,Unconfined,9.41
Medak,1251.47,16.43,4.14,Loamy,Granite,Unconfined,23.29
Khammam,1569.01,7.45,2.43,Black Cotton,Quartzite,Confined,12.76
Khammam,1611.51,8.67,2.01,Red Sandy,Basalt,Unconfined,12.11
Rangareddy,1060.75,7.7,2.56,Loamy,Granite,Unconfined,12.76
Warangal,1785.51,8.86,4.69,Laterite,Schist,Semi-confined,15.98
Hyderabad,1200.11,7.16,3.27,Laterite,Quartzite,Confined,13.35
Nizamabad,1108.79,7.47,4.37,Laterite,Granite,Semi-confined,14.63
Adilabad,1125.93,2.94,3.11,Loamy,Schist,Unconfined,9.02
Hyderabad,1189.65,6.65,2.36,Red Sandy,Basalt,Confined,10.63
Nizamabad,1108.95,7.58,4.74,Black Cotton,Schist,Semi-confined,14.04
Rangareddy,1140.68,7.0,2.63,Red Sandy,Quartzite,Confined,11.37
Warangal,1763.75,6.97,2.97,Red Sandy,Basalt,Semi-confined,12.29
Medak,1188.47,15.44,4.64,Loamy,Schist,Semi-confined,21.16
Nizamabad,1078.56,7.75,1.96,Red Sandy,Granite,Semi-confined,11.07
Medak,1185.69,16.26,3.19,Laterite,Granite,Semi-confined,21.89
Hyderabad,1227.57,9.02,4.93,Red Sandy,Schist,Unconfined,16.69
Adilabad,1116.26,2.78,4.08,Loamy,Granite,Unconfined,9.56
Rangareddy,1072.31,8.1,4.97,Red Sandy,Basalt,Confined,14.82
Adilabad,1055.47,4.38,3.18,Loamy,Basalt,Semi-confined,9.54
Medak,1246.78,16.33,3.64,Black Cotton,Basalt,Semi-confined,21.46
Adilabad,1126.67,4.13,3.26,Red Sandy,Schist,Semi-confined,8.63
Warangal,1746.48,9.34,2.12,Red Sandy,Granite,Unconfined,12.55
Warangal,1775.26,8.76,2.95,Red Sandy,Basalt,Confined,12.87
Nalgonda,961.01,6.88,1.82,Laterite,Basalt,Confined,9.78
Hyderabad,1181.8,6.51,4.02,Black Cotton,Schist,Confined,12.24
Hyderabad,1189.59,7.14,2.51,Red Sandy,Schist,Semi-confined,10.7
Rangareddy,1084.78,7.65,2.56,Loamy,Quartzite,Semi-confined,11.73
Rangareddy,1154.96,7.79,2.77,Loamy,Granite,Unconfined,12.47
Rangareddy,1081.92,7.7,4.1,Red Sandy,Granite,Unconfined,13.42
Adilabad,1088.5,4.79,4.43,Laterite,Granite,Unconfined,11.48
